iteration,test_plant,model_name,mse,eval_count
10,PlantA,PCRNN,0.8390574569617602,392161.0
10,PlantA,RNN,0.7052366112146291,392161.0
10,PlantA,Linear,0.8235566480443293,392161.0
10,PlantA,Naive,1.5493926223583463,392161.0
10,PlantB,PCRNN,0.8005000553212964,1522035.0
10,PlantB,RNN,0.9078884526311118,1522035.0
10,PlantB,Linear,1.1639472255701886,1522035.0
10,PlantB,Naive,1.7837189993090405,1522035.0
10,PlantC,PCRNN,1.0199766020349799,915256.0
10,PlantC,RNN,1.1144122660997915,915256.0
10,PlantC,Linear,1.2507757965494153,915256.0
10,PlantC,Naive,1.5696533700795419,915256.0
