iteration,test_plant,model_name,mse,eval_count
1,PlantA,PCRNN,7.755645462225786,392161.0
1,PlantA,RNN,11.091532433603028,392161.0
1,PlantA,Linear,1.3730868430512524,392161.0
1,PlantA,Naive,1.5493926223583463,392161.0
1,PlantB,PCRNN,6.673718103724891,1621096.0
1,PlantB,RNN,9.50387591934577,1621096.0
1,PlantB,Linear,1.6317547178272782,1621096.0
1,PlantB,Naive,1.7909092231705572,1621096.0
1,PlantC,PCRNN,4.9219826084507625,879394.0
1,PlantC,RNN,6.7752534626044,879394.0
1,PlantC,Linear,1.2232458628204037,879394.0
1,PlantC,Naive,1.5661187581844846,879394.0
2,PlantA,PCRNN,1.8076183320199326,392161.0
2,PlantA,RNN,1.8217894366021554,392161.0
2,PlantA,Linear,0.9108194151717742,392161.0
2,PlantA,Naive,1.5493926223583463,392161.0
2,PlantB,PCRNN,1.8098724092777445,1621096.0
2,PlantB,RNN,1.6576057902539012,1621096.0
2,PlantB,Linear,1.1886436980694692,1621096.0
2,PlantB,Naive,1.7909092231705572,1621096.0
2,PlantC,PCRNN,1.3795717494104072,883555.0
2,PlantC,RNN,1.4164231185754943,883555.0
2,PlantC,Linear,1.1805458961752415,883555.0
2,PlantC,Naive,1.576576625059119,883555.0
3,PlantA,PCRNN,1.2264680632644793,392161.0
3,PlantA,RNN,2.5795118707241356,392161.0
3,PlantA,Linear,0.992421431432831,392161.0
3,PlantA,Naive,1.5493926223583463,392161.0
3,PlantB,PCRNN,1.4016103316240813,1621096.0
3,PlantB,RNN,2.396400227547067,1621096.0
3,PlantB,Linear,1.2612776175797173,1621096.0
3,PlantB,Naive,1.7909092231705572,1621096.0
3,PlantC,PCRNN,1.097203412845577,881645.0
3,PlantC,RNN,1.819860285101697,881645.0
3,PlantC,Linear,1.1775607556520042,881645.0
3,PlantC,Naive,1.5740460082982177,881645.0
4,PlantA,PCRNN,2.8028341837894546,392161.0
4,PlantA,RNN,3.610224515297483,392161.0
4,PlantA,Linear,1.0688883329208863,392161.0
4,PlantA,Naive,1.5493926223583463,392161.0
4,PlantB,PCRNN,2.573444613253426,1621096.0
4,PlantB,RNN,3.2223940932603896,1621096.0
4,PlantB,Linear,1.3081844766495296,1621096.0
4,PlantB,Naive,1.7909092231705572,1621096.0
4,PlantC,PCRNN,1.7516651489093575,879658.0
4,PlantC,RNN,2.123183728084466,879658.0
4,PlantC,Linear,1.1611591929314922,879658.0
4,PlantC,Naive,1.5594509220456814,879658.0
5,PlantA,PCRNN,1.0276416214748931,392161.0
5,PlantA,RNN,0.9801876042059834,392161.0
5,PlantA,Linear,0.8676294889321331,392161.0
