iteration,test_plant,model_name,mse,eval_count
1,PlantA,PCRNN,1.1422683205906579,392161.0
1,PlantA,RNN,1.4949893508740049,392161.0
1,PlantA,Linear,0.9058273009593996,392161.0
1,PlantA,Naive,1.5493926223583463,392161.0
1,PlantB,PCRNN,1.3788437740516497,1588478.0
1,PlantB,RNN,1.8555152733374,1588478.0
1,PlantB,Linear,1.1981007213541222,1588478.0
1,PlantB,Naive,1.7789346701319215,1588478.0
1,PlantC,PCRNN,1.5009399050288548,915256.0
1,PlantC,RNN,2.125736231524225,915256.0
1,PlantC,Linear,1.3387415184701135,915256.0
1,PlantC,Naive,1.5696533700795419,915256.0
2,PlantA,PCRNN,1.9984420756274417,392161.0
2,PlantA,RNN,2.12293357517249,392161.0
2,PlantA,Linear,0.9205466743516062,392161.0
2,PlantA,Naive,1.5493926223583463,392161.0
2,PlantB,PCRNN,1.5622938695248108,1589195.0
2,PlantB,RNN,1.7033437391191393,1589195.0
2,PlantB,Linear,1.180629248484274,1589195.0
2,PlantB,Naive,1.7896120624885208,1589195.0
2,PlantC,PCRNN,1.4073414432849487,915256.0
2,PlantC,RNN,1.5728244966886156,915256.0
2,PlantC,Linear,1.1924551108950157,915256.0
2,PlantC,Naive,1.5696533700795419,915256.0
3,PlantA,PCRNN,1.1841842567394176,392161.0
3,PlantA,RNN,1.445849668817733,392161.0
3,PlantA,Linear,0.9047495186279874,392161.0
3,PlantA,Naive,1.5493926223583463,392161.0
3,PlantB,PCRNN,1.1340226334476302,1588528.0
3,PlantB,RNN,1.3883595165110967,1588528.0
3,PlantB,Linear,1.17984827376553,1588528.0
3,PlantB,Naive,1.7981839569422342,1588528.0
3,PlantC,PCRNN,1.1408952788397289,915256.0
3,PlantC,RNN,1.4022283286301898,915256.0
3,PlantC,Linear,1.2198240267516467,915256.0
3,PlantC,Naive,1.5696533700795419,915256.0
4,PlantA,PCRNN,1.629109068267116,392161.0
4,PlantA,RNN,2.4849573398700477,392161.0
4,PlantA,Linear,0.900114751440262,392161.0
4,PlantA,Naive,1.5493926223583463,392161.0
4,PlantB,PCRNN,1.5288669200421103,1588328.0
4,PlantB,RNN,1.8515960808642455,1588328.0
4,PlantB,Linear,1.1765796279883873,1588328.0
4,PlantB,Naive,1.8000494493131336,1588328.0
4,PlantC,PCRNN,1.3604505981109487,915256.0
4,PlantC,RNN,1.7652799652596514,915256.0
4,PlantC,Linear,1.1730158862722966,915256.0
4,PlantC,Naive,1.5696533700795419,915256.0
5,PlantA,PCRNN,0.9732375328890556,392161.0
5,PlantA,RNN,0.8686985985931098,392161.0
5,PlantA,Linear,0.8779376614324165,392161.0
5,PlantA,Naive,1.5493926223583463,392161.0
5,PlantB,PCRNN,0.8860652754265713,1587940.0
5,PlantB,RNN,0.8343707960163246,1587940.0
