iteration,test_plant,model_name,mse,eval_count
1,PlantA,PCRNN,0.6924093791271745,392161.0
1,PlantA,RNN,0.5471627063634116,392161.0
1,PlantA,Linear,0.8258467308862365,392161.0
1,PlantA,Naive,1.5493926223583463,392161.0
1,PlantB,PCRNN,0.7287305716096333,1424989.0
1,PlantB,RNN,0.7670200483978645,1424989.0
1,PlantB,Linear,1.1518534365720625,1424989.0
1,PlantB,Naive,1.792671979276647,1424989.0
1,PlantC,PCRNN,0.9312284026821418,915256.0
1,PlantC,RNN,1.0122237049429454,915256.0
1,PlantC,Linear,1.2215206476857408,915256.0
1,PlantC,Naive,1.5696533700795419,915256.0
2,PlantA,PCRNN,0.5650955044991424,392161.0
2,PlantA,RNN,0.534139695015807,392161.0
2,PlantA,Linear,0.8170380105502093,392161.0
2,PlantA,Naive,1.5493926223583463,392161.0
2,PlantB,PCRNN,0.6414561503469887,1427755.0
2,PlantB,RNN,0.6686693583658169,1427755.0
2,PlantB,Linear,1.1483529490163316,1427755.0
2,PlantB,Naive,1.7925481870796511,1427755.0
2,PlantC,PCRNN,0.8996381020722876,915256.0
2,PlantC,RNN,0.9883289040904654,915256.0
2,PlantC,Linear,1.2063469307546033,915256.0
2,PlantC,Naive,1.5696533700795419,915256.0
3,PlantA,PCRNN,0.6908496767787062,392161.0
3,PlantA,RNN,1.3080179220865746,392161.0
3,PlantA,Linear,0.8180259927411865,392161.0
3,PlantA,Naive,1.5493926223583463,392161.0
3,PlantB,PCRNN,0.7077723953402498,1426880.0
3,PlantB,RNN,0.836195900793468,1426880.0
3,PlantB,Linear,1.1412610033185844,1426880.0
3,PlantB,Naive,1.7729299947567998,1426880.0
3,PlantC,PCRNN,0.9183628702170643,915256.0
3,PlantC,RNN,1.0326114301345188,915256.0
3,PlantC,Linear,1.2142467833318742,915256.0
3,PlantC,Naive,1.5696533700795419,915256.0
4,PlantA,PCRNN,0.9430663481727055,392161.0
4,PlantA,RNN,0.8243170828917292,392161.0
4,PlantA,Linear,0.860630604638911,392161.0
4,PlantA,Naive,1.5493926223583463,392161.0
4,PlantB,PCRNN,0.7029250829478756,1424279.0
4,PlantB,RNN,1.2969871417854086,1424279.0
4,PlantB,Linear,1.1317004634929477,1424279.0
4,PlantB,Naive,1.7751870024802454,1424279.0
4,PlantC,PCRNN,0.8954733369261993,915256.0
4,PlantC,RNN,1.1248740743271692,915256.0
4,PlantC,Linear,1.2006186805906605,915256.0
4,PlantC,Naive,1.5696533700795419,915256.0
5,PlantA,PCRNN,0.7185708523778761,392161.0
5,PlantA,RNN,1.17124828051077,392161.0
5,PlantA,Linear,0.8245747544671691,392161.0
5,PlantA,Naive,1.5493926223583463,392161.0
5,PlantB,PCRNN,0.7760095822535913,1428465.0
5,PlantB,RNN,0.7163212758041145,1428465.0
5,PlantB,Linear,1.1821601765218572,1428465.0
5,PlantB,Naive,1.803799368916097,1428465.0
5,PlantC,PCRNN,0.9393573050928827,915256.0
5,PlantC,RNN,1.0318150949446863,915256.0
5,PlantC,Linear,1.1800375400937817,915256.0
5,PlantC,Naive,1.5696533700795419,915256.0
