iteration,test_plant,model_name,mse,eval_count
1,PlantA,PCRNN,0.4250912777676687,72596.0
1,PlantA,RNN,0.39500587953172406,72596.0
1,PlantA,Linear,0.6878900207170129,72596.0
1,PlantA,Naive,1.4101550898012196,72596.0
1,PlantB,PCRNN,2.750985941290384,1621096.0
1,PlantB,RNN,2.0081414231266934,1621096.0
1,PlantB,Linear,1.160132249192987,1621096.0
1,PlantB,Naive,1.7909092231705572,1621096.0
1,PlantC,PCRNN,2.06493268024478,915256.0
1,PlantC,RNN,1.3586646464033572,915256.0
1,PlantC,Linear,1.2272721452198465,915256.0
1,PlantC,Naive,1.5696533700795419,915256.0
2,PlantA,PCRNN,0.5994818921440459,68708.0
2,PlantA,RNN,0.5543392928141267,68708.0
2,PlantA,Linear,0.8057027662774852,68708.0
2,PlantA,Naive,1.600966647548906,68708.0
2,PlantB,PCRNN,1.0446819183691571,1621096.0
2,PlantB,RNN,0.8173573288969085,1621096.0
2,PlantB,Linear,1.1561788732730485,1621096.0
2,PlantB,Naive,1.7909092231705572,1621096.0
2,PlantC,PCRNN,0.9123129167245034,915256.0
2,PlantC,RNN,0.9685402084348271,915256.0
2,PlantC,Linear,1.2222256492838246,915256.0
2,PlantC,Naive,1.5696533700795419,915256.0
3,PlantA,PCRNN,0.7995060467981204,68960.0
3,PlantA,RNN,0.7584248237771447,68960.0
3,PlantA,Linear,0.781251020139406,68960.0
3,PlantA,Naive,1.5194064156982194,68960.0
3,PlantB,PCRNN,1.2851759103144589,1621096.0
3,PlantB,RNN,0.9709995841456361,1621096.0
3,PlantB,Linear,1.1585636839348217,1621096.0
3,PlantB,Naive,1.7909092231705572,1621096.0
3,PlantC,PCRNN,0.9875036962207471,915256.0
3,PlantC,RNN,1.2166999597262342,915256.0
3,PlantC,Linear,1.219088696170165,915256.0
3,PlantC,Naive,1.5696533700795419,915256.0
4,PlantA,PCRNN,1.3943309362574907,72665.0
4,PlantA,RNN,1.567047405300356,72665.0
4,PlantA,Linear,0.8449741735696417,72665.0
4,PlantA,Naive,1.5478107671389398,72665.0
4,PlantB,PCRNN,0.7696297672556937,1621096.0
4,PlantB,RNN,0.8799049610312789,1621096.0
4,PlantB,Linear,1.1620967079241646,1621096.0
4,PlantB,Naive,1.7909092231705572,1621096.0
4,PlantC,PCRNN,0.9538596994757669,915256.0
4,PlantC,RNN,0.9330767852175909,915256.0
4,PlantC,Linear,1.2260477431021681,915256.0
4,PlantC,Naive,1.5696533700795419,915256.0
5,PlantA,PCRNN,0.6664595121090391,68963.0
5,PlantA,RNN,0.593196227013235,68963.0
5,PlantA,Linear,0.8801289027313388,68963.0
5,PlantA,Naive,1.6485551732976735,68963.0
5,PlantB,PCRNN,1.7321589479356185,1621096.0
5,PlantB,RNN,1.0998500457245637,1621096.0
5,PlantB,Linear,1.1593212033403046,1621096.0
5,PlantB,Naive,1.7909092231705572,1621096.0
5,PlantC,PCRNN,1.1732650816325492,915256.0
5,PlantC,RNN,1.068046458396117,915256.0
5,PlantC,Linear,1.2173411837180643,915256.0
5,PlantC,Naive,1.5696533700795419,915256.0
6,PlantA,PCRNN,0.4294310246287462,72596.0
6,PlantA,RNN,0.40764168711124305,72596.0
6,PlantA,Linear,0.6882545072805514,72596.0
6,PlantA,Naive,1.4101550898012196,72596.0
6,PlantB,PCRNN,0.9397001376467357,1621096.0
6,PlantB,RNN,0.8546548068789215,1621096.0
6,PlantB,Linear,1.1606404713309457,1621096.0
6,PlantB,Naive,1.7909092231705572,1621096.0
6,PlantC,PCRNN,0.9287515792926675,915256.0
6,PlantC,RNN,1.0009140017593317,915256.0
6,PlantC,Linear,1.2291854990274695,915256.0
6,PlantC,Naive,1.5696533700795419,915256.0
7,PlantA,PCRNN,0.5944733519614923,72083.0
7,PlantA,RNN,0.5064069376717775,72083.0
7,PlantA,Linear,0.6708391279247967,72083.0
7,PlantA,Naive,1.4787610462091634,72083.0
7,PlantB,PCRNN,1.1741218612640731,1621096.0
7,PlantB,RNN,1.274879374453495,1621096.0
7,PlantB,Linear,1.1538391656088658,1621096.0
7,PlantB,Naive,1.7909092231705572,1621096.0
7,PlantC,PCRNN,1.0558525679004023,915256.0
7,PlantC,RNN,1.1232757867467933,915256.0
7,PlantC,Linear,1.2042357726948587,915256.0
7,PlantC,Naive,1.5696533700795419,915256.0
8,PlantA,PCRNN,0.5944763117250672,72429.0
8,PlantA,RNN,3.7133280520573138,72429.0
8,PlantA,Linear,0.7804756924007829,72429.0
8,PlantA,Naive,1.427447941275257,72429.0
8,PlantB,PCRNN,0.974361282788341,1621096.0
8,PlantB,RNN,1.129779002186292,1621096.0
8,PlantB,Linear,1.1617245179527793,1621096.0
8,PlantB,Naive,1.7909092231705572,1621096.0
8,PlantC,PCRNN,0.9629674561318228,915256.0
8,PlantC,RNN,1.1179951107636639,915256.0
8,PlantC,Linear,1.2283071420724825,915256.0
8,PlantC,Naive,1.5696533700795419,915256.0
9,PlantA,PCRNN,0.5673620203729864,71763.0
9,PlantA,RNN,0.6710266891382609,71763.0
9,PlantA,Linear,0.8690432948500687,71763.0
9,PlantA,Naive,1.548659467712722,71763.0
9,PlantB,PCRNN,0.8234837176611259,1621096.0
9,PlantB,RNN,1.480405858674744,1621096.0
9,PlantB,Linear,1.1679365684637375,1621096.0
9,PlantB,Naive,1.7909092231705572,1621096.0
9,PlantC,PCRNN,0.9014672283951493,915256.0
9,PlantC,RNN,1.1479222919261538,915256.0
9,PlantC,Linear,1.2304021111257355,915256.0
9,PlantC,Naive,1.5696533700795419,915256.0
10,PlantA,PCRNN,0.41784728004035643,70403.0
10,PlantA,RNN,0.361450587321424,70403.0
10,PlantA,Linear,0.7824859182095616,70403.0
10,PlantA,Naive,1.4656769897108985,70403.0
10,PlantB,PCRNN,0.8132234246100444,1621096.0
10,PlantB,RNN,1.3439803037489,1621096.0
10,PlantB,Linear,1.1665635551588265,1621096.0
10,PlantB,Naive,1.7909092231705572,1621096.0
10,PlantC,PCRNN,0.9372107780955351,915256.0
10,PlantC,RNN,1.158274971092286,915256.0
10,PlantC,Linear,1.2341190429153976,915256.0
10,PlantC,Naive,1.5696533700795419,915256.0
